θ,ω,θ_next,ω_next
9.23916595232968,2.422567589138377,9.263391628221063,2.4044634240283322
9.245406625571704,2.408491086839684,9.2694915364401,2.390988964778247
9.256752001132321,2.382906402405644,9.280581065156378,2.3665005079769648
9.265322612735881,2.376029691726728,9.289082909653148,2.3604533258805107
9.294002242698403,2.3537826205202066,9.317540068903604,2.3409900591427353
9.30442781131019,2.3448716016523736,9.327876527326714,2.3330937321969283
9.316751773795607,2.3417557027401332,9.340169330823008,2.331178933051924
9.342372006093045,2.3382476196914705,9.36575448228996,2.330172741851195
9.378422720144892,2.350409899512501,9.401926819140018,2.3458640788316925
9.398755747581621,2.335095066695014,9.422106698248571,2.3325425756763103
